MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,LotFrontage_NaN,MasVnrArea_NaN,GarageYrBlt_NaN,YearBuilt_diff,YearRemodAdd_diff,GarageYrBlt_diff,SalePrice
20,4,4.248495242049359,9.323669057283183,1,3,3,1,4,2,15,5,1,4,5,5,5,1965,1965,1,1,9,8,3,0.0,3,3,3,3,3,3,1,906,5,0,134,1040,2,4,1,3,6.946975992135418,0,0,6.946975992135418,1,0,1,0,3,1,3,5,4,0,4,3,1965,2,1,384,2,2,2,0,0,0,0,0,0,0,2,2008,3,4,0,0,0,43,43,43,129500
60,4,4.442651256490317,9.386308454797962,1,2,3,1,4,2,16,5,1,4,4,9,5,2005,2006,1,1,3,4,1,286.0,1,3,4,1,3,3,4,998,5,0,177,1175,2,4,1,3,7.074963197966044,1142,0,7.751045117971802,1,0,3,0,4,1,1,11,4,2,4,2,2005,0,3,736,2,2,2,147,21,0,0,0,0,0,7,2006,2,3,0,0,0,1,0,1,345000
20,4,4.0943445622221,9.470240063415512,1,1,3,1,4,2,15,5,1,4,5,5,6,1962,1962,1,1,9,6,3,0.0,3,3,3,3,3,3,3,737,5,0,175,912,2,3,1,3,6.815639990074331,0,0,6.815639990074331,1,0,1,0,2,1,3,4,4,0,4,3,1962,2,1,352,2,2,2,140,0,0,0,176,0,0,9,2008,3,4,1,0,0,46,46,46,144000
20,4,4.51085950651685,9.273502946933824,1,2,3,1,4,2,21,5,1,4,5,7,5,2006,2007,2,1,10,10,1,306.0,2,3,4,2,3,2,5,0,5,0,1494,1494,2,4,1,3,7.309212365692763,0,0,7.309212365692763,0,0,2,0,3,1,2,7,4,1,4,4,2006,1,3,840,2,2,2,160,33,0,0,0,0,0,8,2007,2,3,0,0,0,1,0,1,279500
20,4,4.0943445622221,9.298351249298896,1,2,3,1,3,2,22,5,1,4,5,6,5,1960,1960,1,1,8,9,2,212.0,3,3,3,3,3,3,2,733,5,0,520,1253,2,3,1,3,7.133295954896068,0,0,7.133295954896068,1,0,1,1,2,1,3,5,4,1,2,4,1960,1,1,352,2,2,2,0,213,176,0,0,0,0,5,2008,3,4,1,0,0,48,48,48,157000
45,3,3.9318256327243257,8.719317375506371,1,3,3,1,3,2,12,5,1,4,0,7,8,1929,2001,2,1,7,7,3,0.0,3,3,2,3,3,3,5,0,5,0,832,832,2,4,1,2,6.74993119378857,0,0,6.74993119378857,0,0,1,0,2,1,3,5,4,0,4,3,1991,2,2,576,2,2,2,48,112,0,0,0,0,0,7,2007,3,4,0,0,0,78,6,16,132000
20,4,4.0943445622221,9.327323087461798,1,2,3,1,2,2,22,5,1,4,5,6,7,1970,1970,2,1,7,7,2,180.0,3,3,3,3,3,3,3,578,5,0,426,1004,2,4,1,3,6.911747300251674,0,0,6.911747300251674,1,0,1,0,2,1,3,5,4,1,3,4,1970,0,2,480,2,2,2,0,0,0,0,0,0,700,3,2010,3,4,1,0,0,40,40,40,149000
90,4,4.276666119016055,9.286467732363734,1,3,3,1,4,2,15,5,1,2,5,4,5,1967,1967,2,1,8,9,3,0.0,3,3,1,3,3,3,5,0,5,0,0,0,2,3,1,3,7.16703787691222,0,0,7.16703787691222,0,0,2,0,2,2,3,6,4,0,4,0,1967,2,2,516,2,2,2,0,0,0,0,0,0,500,10,2006,3,4,0,0,0,39,39,39,90000
20,4,4.189654742026425,9.524786081697178,1,3,3,1,4,2,13,2,1,4,5,5,5,2004,2004,2,1,10,10,3,0.0,3,3,4,3,3,3,4,646,5,0,468,1114,2,4,1,3,7.01571242048723,0,0,7.01571242048723,1,0,1,1,3,1,2,6,4,0,4,3,2004,2,2,576,2,2,2,0,102,0,0,0,0,0,6,2008,3,4,0,0,0,4,4,4,159000
20,4,4.248495242049359,8.930626469173578,1,3,3,1,4,2,22,5,1,4,5,5,6,1958,1965,1,1,4,6,3,0.0,3,3,3,3,3,3,0,504,5,0,525,1029,2,3,1,3,7.199678345691172,0,0,7.199678345691172,0,0,1,0,3,1,3,6,2,0,4,4,1958,2,1,294,2,2,2,0,0,0,0,0,0,0,5,2009,1,2,0,0,0,51,44,51,139000
60,4,4.61512051684126,9.5620530240851,1,2,3,1,3,2,16,5,1,4,4,8,5,2005,2006,2,1,10,10,2,380.0,2,3,4,1,3,2,5,0,5,0,1158,1158,2,4,1,3,7.05444965813294,1218,0,7.773173680482536,0,0,3,1,4,1,2,9,4,1,4,2,2005,1,3,853,2,2,2,240,154,0,0,0,0,0,11,2006,2,3,0,0,0,1,0,1,325300
45,3,4.04305126783455,8.915835074176277,1,3,2,1,4,2,7,5,1,4,0,7,7,1930,1950,2,1,7,7,3,0.0,3,3,4,3,3,3,5,0,5,0,637,637,2,4,1,1,7.010311867307229,0,0,7.010311867307229,0,0,1,0,3,1,2,6,4,1,4,4,1930,2,1,280,2,2,1,0,0,205,0,0,0,0,6,2007,3,4,0,0,0,77,57,77,139400
20,4,4.31748811353631,9.184201714366488,1,3,3,1,4,2,21,5,1,4,5,8,5,2002,2002,1,1,10,10,2,281.0,2,3,4,2,3,3,5,0,5,0,1777,1777,2,4,1,3,7.492760300922379,0,0,7.492760300922379,0,0,2,0,3,1,2,7,4,1,4,4,2002,1,2,534,2,2,2,171,159,0,0,0,0,0,9,2008,3,4,0,0,0,6,6,6,230000
120,3,3.784189633918261,8.348537825386098,1,3,3,1,4,2,2,5,1,3,5,5,7,1976,1976,2,1,5,5,3,0.0,3,3,4,2,3,3,4,840,5,0,200,1040,2,3,1,3,6.966024187106113,0,0,6.966024187106113,1,0,1,0,3,1,3,6,4,1,3,4,1976,2,2,572,2,2,2,100,110,0,0,0,0,0,6,2007,3,4,0,0,0,31,31,31,129900
20,4,4.0943445622221,9.017483513266844,1,2,3,1,4,2,15,5,1,4,5,5,8,1968,2001,2,1,6,6,3,0.0,3,2,3,3,3,0,1,188,1,668,204,1060,2,4,1,3,6.966024187106113,0,0,6.966024187106113,1,0,1,0,3,1,2,6,4,1,3,4,1968,2,1,270,2,2,2,406,90,0,0,0,0,0,5,2010,3,4,1,0,0,42,9,42,154000
20,4,4.700480365792417,9.563107691083898,1,3,3,1,3,2,16,5,1,4,5,8,5,2007,2007,2,1,10,10,1,640.0,2,3,4,2,3,3,5,0,5,0,1566,1566,2,4,1,3,7.377758908227872,0,0,7.377758908227872,0,0,2,0,3,1,2,7,4,1,4,4,2007,1,3,890,2,2,2,0,56,0,0,0,0,0,7,2009,3,4,0,0,0,2,2,2,256300
20,4,4.0943445622221,8.881836305004146,1,3,3,1,3,2,22,5,1,4,5,5,7,1951,2000,2,1,7,7,3,0.0,3,3,3,3,3,0,2,234,4,486,180,900,2,3,1,3,6.802394763324311,0,0,6.802394763324311,0,1,1,0,3,1,2,5,4,0,4,3,2005,2,2,576,2,2,2,222,32,0,0,0,0,0,5,2010,3,4,0,0,0,59,10,5,134800
20,4,4.584967478670572,9.348187438668308,1,3,3,1,4,2,16,5,1,4,5,8,5,2007,2008,2,1,10,10,1,200.0,2,3,4,1,3,3,4,1218,5,0,486,1704,2,4,1,3,7.440733707389261,0,0,7.440733707389261,1,0,2,0,3,1,2,7,4,1,4,4,2008,1,3,772,2,2,2,0,50,0,0,0,0,0,5,2010,3,4,0,0,0,3,2,2,306000
20,4,3.8501476017100575,9.700207901150696,1,2,3,1,2,2,22,5,1,4,5,5,6,1957,1997,2,1,8,9,3,0.0,3,3,3,3,3,1,2,1277,5,0,207,1484,2,3,1,3,7.377758908227872,0,0,7.377758908227872,1,0,1,0,2,1,3,6,4,2,4,4,1957,1,1,319,2,2,2,288,258,0,0,0,0,0,12,2006,3,4,0,0,0,49,9,49,207500
30,3,4.0943445622221,8.752107198329362,1,2,3,1,4,2,12,4,0,4,5,4,6,1927,1950,2,1,8,9,3,0.0,3,3,2,3,3,3,5,0,5,0,520,520,2,1,0,3,6.253828811575473,0,0,6.253828811575473,0,0,1,0,1,1,0,4,4,0,4,3,1920,2,1,240,1,2,2,49,0,87,0,0,0,0,5,2008,3,4,0,0,0,81,58,88,68500
70,0,3.912023005428146,9.047821442478408,1,3,3,1,4,2,7,4,1,4,4,4,4,1920,1950,0,1,4,1,3,0.0,3,1,2,3,3,3,5,0,5,0,649,649,2,3,0,3,6.47543271670409,668,0,7.183111701743281,0,0,1,0,3,1,3,6,4,0,4,3,1920,2,1,250,2,1,1,0,54,172,0,0,0,0,7,2008,3,4,0,0,0,88,58,88,40000
20,4,4.0943445622221,9.052984561199976,1,2,3,1,2,2,15,5,1,4,5,5,6,1966,2006,2,1,9,8,3,0.0,3,3,3,3,3,3,5,0,5,0,1228,1228,2,2,1,3,7.113142108707088,0,0,7.113142108707088,0,0,1,1,3,1,2,6,4,0,4,4,1966,2,1,271,2,2,2,0,65,0,0,0,0,0,6,2008,3,4,1,0,0,42,2,42,149350
20,4,4.442651256490317,9.310095205113177,1,3,3,1,3,2,21,5,1,4,5,8,5,2007,2007,2,1,10,10,3,0.0,2,3,4,1,3,2,5,0,5,0,1234,1234,2,4,1,3,7.1180162044653335,0,0,7.1180162044653335,0,0,2,0,3,1,2,7,4,0,4,4,2007,1,2,484,2,2,2,0,30,0,0,0,0,0,1,2008,3,4,0,0,0,1,1,1,179900
20,4,4.248495242049359,9.26407069439715,1,2,3,1,4,2,22,5,1,4,5,5,5,1959,1959,1,1,4,1,3,0.0,3,3,3,3,3,3,1,1018,5,0,380,1398,2,2,1,3,7.438383530044307,0,0,7.438383530044307,0,1,1,1,4,1,2,6,4,1,4,4,1959,1,2,447,2,2,2,0,38,0,0,0,0,0,4,2010,3,4,0,0,0,51,51,51,165500
120,4,4.0943445622221,8.89740886527095,1,3,3,1,4,2,16,5,1,3,5,9,5,2005,2005,1,1,8,9,2,246.0,1,3,4,1,3,3,4,1153,5,0,408,1561,2,4,1,3,7.353081920515432,0,0,7.353081920515432,1,0,2,0,2,1,1,6,4,1,4,4,2005,0,2,556,2,2,2,203,47,0,0,0,0,0,8,2007,3,4,0,0,0,2,2,2,277500
60,4,4.68213122712422,9.504352368122833,1,3,3,1,4,2,16,5,1,4,4,8,5,2004,2005,2,1,10,10,1,132.0,2,3,4,1,3,2,5,0,5,0,1117,1117,2,4,1,3,7.0317412587631285,1320,0,7.804659297056102,0,0,3,1,4,1,2,9,4,1,4,2,2004,0,3,691,2,2,2,113,32,0,0,0,0,0,9,2006,3,4,0,0,0,2,1,2,309000
20,4,4.718498871295094,9.2927495082169,1,3,3,1,3,2,21,5,1,4,5,5,5,1994,1995,2,1,10,10,3,0.0,3,3,4,2,3,3,5,0,5,0,1097,1097,2,4,1,3,7.00033446027523,0,0,7.00033446027523,0,0,1,1,3,1,3,6,4,0,4,4,1995,2,2,672,2,2,2,392,64,0,0,0,0,0,6,2009,3,4,0,0,0,15,14,14,145000
20,4,4.30406509320417,9.05157907959124,1,3,3,1,4,2,22,5,1,4,5,5,6,1954,1990,1,1,7,7,2,650.0,3,3,3,3,3,3,1,1213,5,0,84,1297,2,2,1,3,7.167809184316444,0,0,7.167809184316444,0,1,1,0,3,1,3,5,4,1,3,4,1954,0,2,498,2,2,2,0,0,0,0,0,0,0,10,2009,3,4,0,0,0,55,19,55,153000
20,4,4.219507705176107,8.977398978181862,1,3,3,1,4,2,22,5,1,4,5,5,7,1953,2007,2,1,10,10,3,0.0,3,2,3,3,3,3,4,731,5,0,326,1057,2,3,1,3,6.963189985870238,0,0,6.963189985870238,1,0,1,0,3,1,2,5,4,0,4,3,1953,2,1,246,2,2,2,0,52,0,0,0,0,0,1,2010,3,2,0,0,0,57,3,57,109000
90,4,4.174387269895637,8.706159290928861,1,3,3,1,4,2,19,5,1,2,5,4,5,1955,1955,2,1,1,6,3,0.0,3,3,4,3,3,3,5,0,5,0,0,0,2,3,0,0,7.049254841255837,0,0,7.049254841255837,0,0,2,0,2,2,0,6,4,0,4,4,2005,2,0,0,2,2,1,0,0,0,0,0,0,0,6,2008,3,0,0,0,1,53,53,3,82000
20,4,4.430816798843313,9.066239028001926,1,3,3,1,4,2,22,5,1,4,5,6,5,1965,1965,2,1,7,7,2,101.0,3,3,3,3,3,3,1,643,5,0,445,1088,2,4,1,3,7.188412736496954,0,0,7.188412736496954,0,0,2,0,3,1,3,6,4,1,3,4,1965,1,2,440,2,2,2,0,138,0,0,0,0,0,12,2006,3,2,0,0,0,41,41,41,160000
20,4,4.74493212836325,9.735364715141989,1,3,3,1,4,2,8,5,1,4,5,5,6,1959,1959,2,1,10,10,3,0.0,3,2,3,3,3,1,2,967,5,0,383,1350,2,2,1,3,7.191429330036379,0,0,7.191429330036379,0,1,1,1,2,1,3,5,4,2,4,4,1959,1,1,308,2,2,0,0,104,0,0,0,0,0,7,2007,3,4,0,0,0,48,48,48,170000
85,4,4.0943445622221,9.124782483614537,1,2,3,1,2,2,13,5,1,4,1,5,7,1983,1983,2,1,9,8,3,0.0,3,3,3,2,3,2,3,747,3,93,0,840,2,2,1,3,6.784457062637643,0,0,6.784457062637643,1,0,1,0,2,1,2,5,4,0,4,4,1983,1,2,504,2,0,2,240,0,0,0,0,0,0,12,2007,3,4,1,0,0,24,24,24,144000
20,4,4.0943445622221,9.126958763037132,1,2,3,1,2,2,21,5,1,4,5,5,6,1975,1980,1,1,10,10,3,0.0,3,3,3,2,3,2,0,280,2,491,167,938,2,3,1,3,6.843749949006225,0,0,6.843749949006225,1,0,1,0,3,1,3,5,4,0,4,3,1977,2,1,308,2,2,2,145,0,0,0,0,0,0,7,2008,3,4,1,0,0,33,28,31,130250
20,4,4.248495242049359,8.980298078970817,1,3,3,1,4,2,22,5,1,4,5,5,6,1959,1959,2,1,4,7,3,0.0,3,3,3,3,3,3,3,179,2,506,465,1150,2,4,1,2,7.047517221357296,0,0,7.047517221357296,1,0,1,0,3,1,3,6,4,0,4,4,1959,1,1,300,2,2,2,0,0,0,0,0,0,0,5,2006,3,4,0,0,0,47,47,47,141000
120,4,4.110873864173311,8.943506132037239,1,3,3,1,4,2,16,5,1,3,5,9,5,2005,2005,1,1,8,9,2,412.0,1,3,4,1,3,3,4,456,5,0,1296,1752,2,4,1,3,7.468513271496337,0,0,7.468513271496337,1,0,2,0,2,1,1,6,4,1,4,4,2005,1,2,576,2,2,2,196,82,0,0,0,0,0,2,2010,3,4,0,0,0,5,5,5,319900
50,4,3.871201010907891,9.458917724547202,1,2,3,1,2,2,10,5,1,4,3,7,5,2003,2003,2,1,10,10,3,0.0,2,3,4,1,3,3,4,1351,5,0,83,1434,2,4,1,3,7.325148957955575,631,0,7.67275789664251,1,0,1,1,1,1,2,6,4,1,1,4,2003,1,2,670,2,2,2,168,43,0,0,198,0,0,8,2009,3,2,0,0,0,6,6,6,239686
20,2,4.430816798843313,9.314339961994667,1,3,3,1,4,2,18,5,1,4,5,8,5,2006,2006,2,1,10,10,3,0.0,2,3,4,2,3,2,4,24,5,0,1632,1656,2,4,1,3,7.412160334945205,0,0,7.412160334945205,0,0,2,0,3,1,2,7,4,0,4,4,2006,1,3,826,2,2,2,0,146,0,0,0,0,0,7,2007,3,4,0,0,0,1,1,1,249700
190,3,3.49650756146648,8.40200678160712,1,3,3,1,4,2,20,5,1,0,4,4,5,1920,2008,2,1,8,9,3,0.0,3,3,2,3,3,3,5,0,5,0,736,736,2,2,1,3,6.601230118728877,716,0,7.280697195384741,0,0,2,0,2,3,3,8,4,0,4,4,2005,2,0,0,2,2,1,0,0,102,0,0,0,0,6,2009,2,3,0,0,1,89,1,4,113000
20,4,4.189654742026425,8.954415331137593,1,3,3,1,4,2,15,5,1,4,5,5,7,1966,1966,2,1,9,8,3,0.0,3,3,3,3,3,3,2,763,5,0,192,955,2,4,1,3,6.86171134048073,0,0,6.86171134048073,1,0,1,0,3,1,3,6,4,0,4,4,1966,2,1,386,2,2,2,0,0,0,0,0,0,0,1,2007,3,4,0,0,0,41,41,41,127000
60,4,4.0943445622221,9.537411412656336,1,1,3,1,3,2,17,5,1,4,4,6,6,1997,1997,2,1,10,10,3,0.0,3,3,4,2,3,2,4,182,5,0,612,794,2,2,1,3,6.677083461247136,676,0,7.293017679772782,0,1,2,0,3,1,3,6,4,0,4,4,1997,0,2,388,2,2,2,0,75,0,0,0,0,0,7,2007,3,4,1,0,0,10,10,10,177000
50,3,3.951243718581428,8.738735461363474,1,3,3,1,4,2,12,5,1,4,3,6,6,1934,1950,2,1,7,7,3,0.0,3,3,4,3,3,3,5,0,5,0,816,816,2,3,1,3,6.704414354964107,0,360,7.069874128458572,0,0,1,0,3,1,3,6,4,1,4,3,1985,2,2,528,2,2,2,112,0,0,0,0,0,400,9,2006,3,4,0,0,0,72,56,21,114500
90,3,4.700480365792417,9.044521887281242,0,1,2,1,3,1,7,2,1,2,5,5,5,1963,1963,2,1,7,7,3,0.0,0,3,3,2,3,1,0,104,0,712,0,816,2,3,0,3,6.704414354964107,0,0,6.704414354964107,1,0,1,0,2,1,3,5,4,0,4,0,1963,2,2,516,2,2,2,106,0,0,0,0,0,0,5,2010,3,4,0,0,0,47,47,47,110000
20,4,4.219507705176107,10.825183649068832,1,2,0,1,4,2,3,5,1,4,5,9,5,1981,1987,2,0,3,4,3,0.0,2,3,3,1,3,1,4,1810,5,0,32,1842,2,2,1,3,7.518607216815252,0,0,7.518607216815252,2,0,0,1,0,1,2,5,4,1,4,4,1981,0,3,894,2,2,2,857,72,0,0,0,0,0,11,2006,3,4,0,0,0,25,19,25,385000
80,4,4.0943445622221,8.872627365918836,1,3,2,1,4,1,22,5,1,4,2,5,5,1955,1955,2,1,8,9,3,0.0,3,3,3,3,3,3,3,384,5,0,0,384,2,3,1,3,7.215239978730097,0,0,7.215239978730097,0,0,1,0,3,1,3,6,2,1,3,3,1962,2,2,572,2,2,2,0,50,0,0,0,0,0,2,2007,3,4,0,0,0,52,52,45,130000
20,4,4.605170185988092,9.227689010310796,1,2,3,1,4,2,22,5,1,4,5,6,5,1964,1964,2,1,9,6,2,272.0,3,3,3,3,3,3,2,490,5,0,935,1425,2,2,1,3,7.261927092702751,0,0,7.261927092702751,0,0,2,0,3,1,3,7,4,1,4,4,1964,1,2,576,2,2,2,0,0,0,407,0,0,0,7,2008,3,4,0,0,0,44,44,44,180500
160,2,3.1780538303479458,7.8804263442924,1,3,3,1,4,2,18,5,1,1,4,8,5,1999,2000,2,1,8,9,2,456.0,2,3,4,2,3,3,4,649,5,0,321,970,2,4,1,3,6.890609120147166,756,0,7.461065514354283,1,0,2,1,3,1,2,7,4,0,4,4,1999,0,2,480,2,2,2,115,0,0,0,0,0,0,8,2009,3,2,0,0,0,10,9,10,172500
60,4,4.48863636973214,9.36263218231844,1,2,3,1,3,2,21,5,1,4,4,7,5,2004,2004,2,1,10,10,3,0.0,2,3,4,2,3,3,5,0,5,0,860,860,2,4,1,3,6.756932389247553,860,0,7.450079569807499,0,0,2,1,3,1,2,7,4,0,4,4,2004,1,2,565,2,2,2,0,70,0,0,0,0,0,8,2006,3,4,0,0,0,2,2,2,196500
60,4,4.189654742026425,9.523836379320944,1,1,1,1,2,2,5,5,1,4,4,10,5,2006,2006,1,1,10,10,2,1031.0,1,3,4,1,3,1,5,0,5,0,1410,1410,2,4,1,3,7.262628600974241,1519,0,7.987864096085687,0,0,3,1,3,1,2,10,4,1,4,2,2006,0,3,641,2,2,2,192,0,37,0,0,0,0,10,2006,2,3,0,0,0,0,0,0,438780
20,4,4.0943445622221,8.881836305004146,1,3,2,1,4,2,21,5,1,4,5,5,7,1972,1972,2,1,9,8,3,0.0,3,3,3,3,3,2,3,632,5,0,148,780,2,4,1,3,6.659293919683638,0,0,6.659293919683638,0,0,1,0,2,1,3,4,4,0,4,3,1973,2,1,352,2,2,2,196,0,0,0,0,0,0,1,2008,3,4,0,0,0,36,36,35,124900
20,4,4.143134726391533,9.478227817099784,1,3,3,1,4,2,13,2,1,4,5,6,5,2004,2004,2,1,10,10,3,0.0,3,3,4,2,3,3,3,941,5,0,217,1158,2,4,1,3,7.05444965813294,0,0,7.05444965813294,1,0,1,1,3,1,2,5,4,0,4,3,2006,2,2,576,2,2,2,0,50,0,0,0,0,0,5,2006,2,3,0,0,0,2,2,0,158000
75,3,4.0943445622221,8.881836305004146,1,3,3,1,4,2,7,5,1,4,0,5,7,1920,1996,2,1,8,9,3,0.0,3,3,2,3,1,3,5,0,5,0,530,530,2,3,0,3,6.364750756851911,530,0,7.01301578963963,0,0,1,0,3,1,0,6,4,0,4,3,1935,2,1,288,2,2,1,0,0,144,0,0,0,0,3,2007,3,4,0,0,0,87,11,72,101000
120,4,3.784189633918261,8.770594329891145,1,2,3,1,4,2,16,5,1,3,5,8,5,2006,2006,2,1,10,10,1,178.0,2,3,4,2,2,0,4,24,5,0,1346,1370,2,4,1,3,7.222566018822171,0,0,7.222566018822171,0,0,2,0,2,1,2,6,4,1,4,4,2006,1,2,484,2,2,2,120,49,0,0,0,0,0,10,2007,3,4,0,0,0,1,1,1,202500
70,3,3.912023005428146,9.239899174217728,1,2,2,1,4,2,20,1,0,4,4,7,6,1921,1950,2,1,2,2,3,0.0,3,3,2,3,3,3,5,0,5,0,576,576,2,2,1,3,6.804614520062624,808,0,7.444248649496705,0,0,2,0,3,1,3,9,4,0,4,3,1990,2,2,480,2,2,2,12,11,64,0,0,0,0,4,2010,3,4,0,0,0,89,60,20,140000
60,4,4.0943445622221,9.14580185083861,1,3,3,1,4,2,21,5,1,4,4,7,5,1997,1998,2,1,10,10,2,573.0,3,3,4,2,3,3,4,739,5,0,318,1057,2,4,1,3,6.963189985870238,977,0,7.617759576608505,1,0,2,1,3,1,2,8,4,0,4,4,1998,1,2,645,2,2,2,576,36,0,0,0,0,0,2,2009,3,4,1,0,0,12,11,11,219500
